Idioms,Meaning 1,Meaning 2,Meaning 3,Meaning 4,Meaning 5,Sentence 1,Sentence 2,Sentence 3,Sentence 4
apple of someone’s eye,someone’s favorite person or thing.,,,,,Tom is the apple of Mary’s eye. She thinks he’s great. ,Jean is the apple of her father’s eye. ,,
armed to the teeth,heavily armed with weapons.,,,,,The bank robber was armed to the teeth when he was caught. ,There are too many guns around. The entire country is armed to the teeth. ,,
as a duck takes to water,easily and naturally.,,,,,She took to singing just as a duck takes to water. ,The baby adapted to the feeding-bottle as a duck takes to water. ,,
as black as one is painted,as evil or unpleasant as one is thought to be. (Usually negative.),,,,,The landlord is not as black as he is painted. He seems quite generous. ,Young people are rarely as black as they are painted in the media. ,,
(as) black as pitch,very black, very dark.,,,,The night was as black as pitch. ,The rocks seemed black as pitch against the silver sand. ,,
(as) bold as brass,brazen, very bold and impertinent.,,,,"She went up to her lover’s wife, bold as brass. ",The girl arrives late every morning as bold as brass. ,,
(as) bright as a button,very intelligent, extremely alert.,,,,The little girl is as bright as a button. ,Her new dog is bright as a button. ,,
(as) calm as a millpond,[for water to be] exceptionally calm. (Referring to the still water in a pond around a mill in contrast to the fast-flowing stream which supplies it.),,,,,The English Channel was calm as a millpond that day. ,Jane gets seasick even when the sea is calm as a millpond. ,,
(as) cold as charity,very cold, icy, very unresponsive, lacking in passion.,,The room was as cold as charity. ,"It was snowing, and the moors were cold as charity. ","Their mother keeps them clean and fed, but she is cold as charity.","John’s sister is generous and welcoming, but John is as cold as charity."
(as) fit as a fiddle,healthy and physically fit.,,,,,"In spite of her age, Mary is as fit as a fiddle. ",Tom used to be fit as a fiddle. Look at him now! ,,
(as) happy as a lark,visibly happy and cheerful.,,,,,"Sally walked along whistling, as happy as a lark.","The children danced and sang, happy as larks.",,
(as) happy as a sand boy,very happy, carefree.,,,,Mary’s as happy as a sand boy now that she is at home all day with her children.,,,
(as) happy as the day is long,very happy,,,,,The old lady has many friends and is happy as the day is long.,,,
(as) hungry as a hunter,very hungry.,,,,,I’m as hungry as a hunter. I could eat anything! ,"Whenever I jog, I get hungry as a hunter. ",,
(as) large as life (and twice as ugly),an exaggerated way of saying that a person or a thing actually appeared in a particular place.,,,,,The little child just stood there as large as life and laughed very hard. ,"I opened the door, and there was Tom, large as life. ","I came home and found this cat in my chair, as large as life and twice as ugly. ",
(as) happy as Larry,very happy or carefree.,,,,,"Peter earns very little money, but he is happy as Larry in his job.",,,
(as) near as dammit,very nearly.,,,,,He earns sixty thousand pounds a year as near as dammit. ,She was naked near as dammit. ,,
asleep at the wheel,not attending to one’s assigned task, failing to do one’s duty at the proper time.,,,,I should have spotted the error. I must have been asleep at the wheel. ,The management must have been asleep at the wheel to let the firm get into such a state.,,
(as) plain as a pikestaff,very obvious," clearly visible. (Pikestaff was originally pack staff, a stick on which a peddler’s or traveler’s pack was supported. The original reference was to the smoothness of this staff, although the allusion is to another sense of plain: clear or obvious.)",,,,The ‘no parking’ sign was as plain as a pikestaff. How did he miss it? ,It’s plain as a pikestaff. The children are unhappy. ,,
(as) pleased as Punch,"very pleased or happy. (From the puppet show character, who is depicted as smiling gleefully.)",,,,,The little girl was pleased as Punch with her new dress. ,Jack’s as pleased as Punch with his new car. ,,
